counter,paper_id,Author,Journal,Inependent_Variable,Region,Country,Unit_of_analysis,Sample_size,Time_span,pop_density,Scopus_keywords,Def_pop_dens,Method,Countries,small_large
12,34,Oyedotun and Moonsammy (2020),Annals of the American Association of Geographers,Confirmed COVID-19 cases,South America,South America,Cases,1588,"February 26 - June 20, 2020",Positive,COVID-19; disease modeling; South America; spatiotemporal; South America; assessment method; COVID-19; disease spread; GIS; mapping method; software; spatiotemporal analysis; World Health Organization,People per square kilometer of land area,Spatial regression,"Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Falkland Islands, French Guinea, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezuela",Others
13,35,Khanijahani (2020),Ethnicity & Health,Confirmed COVID-19 cases,North America,United States,Counties,3142,"February 15 - November 2, 2020",Positive,COVID-19; health disparities; minority health; pandemics; socioeconomic factors; Adult; Continental Population Groups; COVID-19; Ethnic Groups; Female; Health Status Disparities; Humans; Male; Mortality; Socioeconomic Factors; United States; black population; cause of death; COVID-19; health survey; policy making; public health; socioeconomic conditions; spatiotemporal analysis; stakeholder,People per square mile of land area,Hierarchical regression,United States,Small Geographical Areas
14,38,Peker et al. (2020),Journal of Academic Research in Medicine,COVID-19 case fatality rates,World,World,Countries,137,"January 22 - July 10, 2020",No association,"Case fatality rate, COVID-19, risk factors, continents, handwashing, smoking",People per square kilometer of land area,ANOVA,NA,Large Geographical Areas
15,47,Palacio and Tamariz (2020),Journal of General Internal Medicine,Confirmed COVID-19 cases,North America,United States,Cases,NA,"February 15 - July 24, 2020",Positive,Adult; COVID-19; Cross-Sectional Studies; Female; Florida; Healthcare Disparities; Humans; Income; Male; Middle Aged; Social Determinants of Health; Social Environment,People per square mile of land area,Poisson,United States,Others
16,56,Ahmad et al (2020),PLOS One,Confirmed COVID-19 cases,North America,United States,Counties,3141,"January 22 - April 21, 2020",Positive,"Adult; Aged; Betacoronavirus; Coronavirus Infections; Cross-Sectional Studies; Family Characteristics; Female; Housing; Humans; Incidence; Male; Middle Aged; Pandemics; Pneumonia, Viral; Risk; Social Class; United States; Young Adult",People per square mile of land area,Negative Binomial,United States,Small Geographical Areas
17,61,Lin et al. (2020),Frontiers in Public Health,Confirmed COVID-19 cases,Asia,China,Cities,39,"January 22 - Mar 19, 2020",Positive,emerging infections diseases; gross domestic product; internal migration; population density; public health emergency of international concern; SARS-CoV-2; urbanization,People per square kilometer of land area,OLS,China,Others
18,63,Arif et al. (2020),"Environment, Development and Sustainability",Confirmed COVID-19 cases,Asia,India,Districts,14,"February 15 - July 20, 2020",Positive,COVID-19; Infections; Population density; Response surface methodology; South India; Thiessen polygon; India; Karnataka; Kerala; Tamil Nadu; Telangana;     COVID-19; disease transmission; epidemic; polygon; population density; public health; severe acute respiratory syndrome; spatial distribution,People per square kilometer of land area,ANOVA,India,Others
19,67,Roy and Ghosh (2020),PLOS One,Infections,North America,United States,States,50,"January 22 - May 31, 2020",No association,"Adolescent; Adult; Age Factors; Aged; Aged, 80 and over; Betacoronavirus; Child; Child, Preschool; Coronavirus Infections; Female; Humans; Infant; Infant, Newborn; Interpersonal Relations; Male; Middle Aged; Pandemics; Pneumonia, Viral; Policy Making; Population Density; Quarantine; Supervised Machine Learning; Time Factors; Travel; United States; Young Adult",People per square kilometer of land area,Machine learning model,United States,Large Geographical Areas
20,81,Oztig and Askin (2020),Public Health,Infections,World,World,Countries,144,"January 23 - April 23, 2020",Positive,"Airports; COVID-19; Human mobility; Schengen countries; Binomial Distribution; Coronavirus Infections; Global Health; Humans; Pandemics; Pneumonia, Viral; Regression Analysis; Travel; elderly population; epidemic; health services; mobility; population density; public health; regression analysis; viral disease",People per square kilometer of land area,Negative Binomial,"Afghanistan, Angola, Albania, United Arab Emirates, Antigua and Barbuda, Australia, Austria, Azerbaijan, Belgium, Burkina Faso, Bangladesh, Bulgaria, Bahrain, Bahamas, Belarus, Belize, Bolivia, Brazil, Bhutan, Botswana, Canada, Switzerland, Chile, Ivory Coast, Cameroon, Congo, Dominican Republic, Congo, Colombia, Cabo Verde, Costa Rica, Cuba, Cyprus, Czech Republic, Germany, Algeria, Ecuador, Egypt,  Spain, Estonia, Ethiopia, Finland, Fiji, France, United Kingdom, Georgia, Ghana, Gambia,  Equatorial Guinea, Greece, Guatemala, Guyana, Honduras, Croatia, Hungary, Indonesia, India, Ireland, Iran, Iraq, Iceland, Israel, Italy, Jamaica, Japan, Kazakhstan, Kenya, Kyrgyz Republic, Cambodia, South Korea, Kuwait, Lao, Lebanon, Libya, Sri Lanka, Lithuania, Luxembourg, Latvia, Moldova, Madagascar, Maldives, Mexico, Malta, Myanmar, Montenegro, Mongolia, Mozambique, Mauritania, Mauritius, Malawi, Malaysia, Namibia, Nigeria, Netherlands, Nepal, New Zealand, Oman, Pakistan, Panama, Peru, Philippines, Papua New Guinea, Poland, Korea, Portugal, Paraguay, Qatar, Romania, Russian Federation, Rwanda, Saudi Arabia, Sudan, Senegal, Singapore, Solomon Islands, El Salvador, Somalia, Serbia, Suriname, Slovenia, Seychelles, Syrian Arab Republic, Togo, Thailand, Tajikistan, Turkmenistan, Trinidad and Tobago, Tunisia, Turkey, Tanzania, Uganda, Ukraine, United States, Uzbekistan, Venezuela, Vietnam, Vanuatu, Yemen, South Africa, Zambia, Zimbabwe, Morocco, Jordan, Brunei, Argentina",Large Geographical Areas
21,85,Kodera et al (2020),International Journal of Environmental Research and Public Health,Morbidity,Asia,Japan,Prefecture,47,"January 19 - May 25, 2020",Positive,"Absolute humidity; COVID-19; Japan; Morbidity rate; Mortality rate; Temperature; Aged; Betacoronavirus; Coronavirus Infections; Disease Outbreaks; Forecasting; Humans; Humidity; Japan; Morbidity; Pandemics; Pneumonia, Viral; Population Density; Temperature; Weather; correlation; COVID-19; disease severity; humidity; morbidity; mortality; population density; temperature effect; viral disease",People per square kilometer of land area,Correlation analysis,Japan,Small Geographical Areas
22,87,Ilbeigi and Jagupilla (2020),Sustainability,Confirmed COVID-19 cases,North America,United States,Zip codes,188,"February 15 - May 30, 2020",Positive,Burnout; Professional development; School teachers; Work engagement; Italy; learning; prediction; public attitude; questionnaire survey; teaching; training,Number of people,Correlation analysis,United States,Small Geographical Areas
23,89,Leung et al. (2020),Journal of Business Research,COVID-19 incidence rates,World,World,Countries,2010,"January 22  - April 30, 2020",No association,Covid-19; Gender equity; Human development; Human environment; Public health expenditure; Public health outcomes,People per square kilometer of land area,Partial least squares,NA,Large Geographical Areas
24,90,Mollalo et al. (2020),Science of the Total Environment,COVID-19 incidence rates,North America,United States,Counties,0,"January 22 - April 9, 2020",Positive,"COVID-19; GIS; Multiscale GWR; Spatial non-stationarity; Betacoronavirus; Coronavirus Infections; Demography; Environment; Geographic Information Systems; Humans; Incidence; Pandemics; Pneumonia, Viral; Socioeconomic Factors; Spatial Analysis; Spatial Regression; United States; Demographic variables; Explanatory variables; Geographically weighted regression; Ordinary least squares; Spatial autocorrelations; Spatial error models; Spatial non-stationarity; Spatial variability",NA,OLS,United States,Small Geographical Areas
25,93,Maroko et al. (2020),Journal of Urban Health,Confirmed COVID-19 cases,North America,United States,Cases,106764,"February 15 - April 13, 2020",Positive,"Chicago; COVID; Equity; Geography; GIS; Hot spot; New York; SARS-CoV-2; Aged; Betacoronavirus; Chicago; Coronavirus Infections; Cross-Sectional Studies; Ethnic Groups; Humans; New York City; Pandemics; Pneumonia, Viral; Population Density; Poverty; Residence Characteristics",People per square mile of land area,Spatial regression,United States,Others
26,99,Hamidi et al. (2020),Health and Place,Confirmed COVID-19 cases,North America,United States,Counties,1165,"February 15 - May 25, 2020",Negative,"Betacoronavirus; Coronavirus Infections; Environment Design; Humans; Longitudinal Studies; Morbidity; Pandemics; Pneumonia, Viral; United States; Urban Population; United States;     COVID-19; disease severity; disease spread; longitudinal gradient; metropolitan area; mortality; viral disease",People per square mile of land area,Hierarchical regression,United States,Small Geographical Areas
27,106,Gupta et al. (2020),Modeling Earth Systems and Environment,Confirmed COVID-19 cases,Asia,India,Cases,30000,"February 15 - April 27, 20202",No association,Climatic influence; COVID-19; Generalized additive model; Geographical factors; India; climate effect; COVID-19; disease transmission; epidemic; geographical distribution; numerical model; regression analysis; viral disease,People per square kilometer of land area,Correlation analysis,India,Others
28,107,Hamidi et al. (2020),Journal of the American Planning Association,Natural log of confirmed COVID-19 cases,North America,United States,Cases,913,"March 23 - April 21, 2020",No association,COVID-19; disease control; disease severity; disease spread; disease transmission; epidemic; health care; infectious disease; mortality; planning process; respiratory disease; urban sprawl; viral disease; United States; density,People per square mile of land area,Structural Equation,United States,Others
29,111,Paez et al. (2020),Geographical Analysis,COVID-19 Incidence,Europe,Spain,Provinces,50,"March 13 - April 11, 2020",Negative,Spain; air temperature; correlation; COVID-19; disease incidence; humidity; seasonality; solar activity; spatiotemporal analysis; disease control; disease severity; disease spread; disease transmission; epidemic; health care; mortality; planning process; respiratory disease,People per square kilometer of land area,Spatial regression,Spain,Large Geographical Areas
30,116,Federgruen and Naha (2020),International Journal of Infectious Diseases,Confirmed COVID-19 cases,North America,United States,Zip codes,175,"February 15 - May 19, 2020",No association,"Average household size; COVID-19; Demographic factors; Population density; Racial/ethnic factors; Socio-economic factors; dult; Aged; Aged, 80 and over; COVID-19; Crowding; Ethnic Groups; Female; Housing; Humans; Male; Middle Aged; New York City; Population Density; Poverty",People per square kilometer of land area,OLS,United States,Small Geographical Areas
31,122,Birenbaum-Carmeli and Chassida (2020),International Journal for Equity in Health,Morbidity,Middle East,Israel,Municipalities,197,"February 23 - June 2, 2020",Positive,"Arab; Covid-19; Elderly population; Internet access; Israel; Jewish; Minority; Morbidity rate; Population density; Socioeconomic status; Aged; Arabs; Coronavirus Infections; Cross-Sectional Studies; Humans; Israel; Jews; Minority Groups; Morbidity; Pandemics; Pneumonia, Viral; Population Density; Residence Characteristics; Social Class; elderly population; ethnic minority; fertility; Internet; morbidity; population density; socioeconomic conditions; spatiotemporal analysis; virus",People per square kilometer of land area,OLS,Israel,Small Geographical Areas
32,123,Allel et al. (2020),Global Public Health,Confirmed COVID-19 cases,World,World,Countries,134,"January 22 - February 10, 2020",No association,"coronavirus; country-level factors; COVID-19; global health; government measures; pandemic; Betacoronavirus; Communicable Disease Control; Coronavirus Infections; Cross-Sectional Studies; Demography; Global Health; Humans; Incidence; Models, Statistical; Pandemics; Pneumonia, Viral; Risk Factors; Time Factors",Number of people,Negative Binomial,NA,Large Geographical Areas
33,124,Whittle and Diaz-Artiles (2020),BMC Medicine,Confirmed COVID-19 cases,North America,United States,Zip codes,177,"March 1 - April 5, 2020",Positive,"Besag-York-Mollié model; COVID-19; Income; Population density; Positivity rate; Race; Socioeconomic factors; Youth dependency; Adolescent; Bayes Theorem; Betacoronavirus; Child; Coronavirus Infections; Female; Humans; Male; New York City; Pandemics; Pneumonia, Viral; Poverty; Residence Characteristics; Socioeconomic Factors",People per square kilometer of land area,Spatial regression,United States,Small Geographical Areas
34,128,Abedi et al. (2020),Journal of Racial and Ethnic Health Disparities,Confirmed COVID-19 cases,North America,United States,Counties,369,"January 22 - April 9, 2020",Positive,COVID-19; Ecological-based study; Economic inequality; Health status disparities; Healthcare disparities; Population-based analysis; Racial disparity; Socioeconomic factors; United States; Continental Population Groups; Female; Health Status Disparities; Humans; Male; Risk Factors; Socioeconomic Factors; United States,People per square mile of land area,OLS,United States,Small Geographical Areas
35,138,Xiong et al. (2020),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,Asia,China,Prefecture,12,"January 30 - February 18, 2020",No association,"COVID-19; Influencing factor; Spatial autocorrelation; Spatial scale; Spearman’s rank correlation; Wuhan city; Betacoronavirus; China; Coronavirus Infections; Disease Outbreaks; Humans; Pandemics; Pneumonia, Viral; Residence Characteristics; Socioeconomic Factors; Spatio-Temporal Analysis; autocorrelation; correlation; COVID-19; epidemic; spatial analysis; statistical analysis; viral disease",People per square kilometer of land area,Correlation analysis,China,Small Geographical Areas
36,142,Qiu et al. (2020),Journal of Population Economics,Confirmed COVID-19 cases,Asia,China,Prefecture,304,"January 19  - February 29, 2020",No association,2019 novel coronavirus; Quarantine; Transmission,People per square kilometer of land area,OLS,China,Small Geographical Areas
37,143,Fan et al. (2020),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,Asia,China,Prefecture,329,"February 1 - Febraury 15, 2020",No association,China; COVID-19 transmission; Emerging epidemic; Migrant population; Migration network; Spring Festival travel rush; disease transmission; empirical analysis; epidemic; health risk; immigrant population; prediction; social network; urban area; viral disease,People per square kilometer of land area,OLS,China,Small Geographical Areas
38,146,Ferreira (2020),Geospatial Health,Confirmed COVID-19 cases,South America,Brazil,Districts,96,"February 25 - May 18, 2020",Positive,Brazil; COVID-19; Poverty; Spatial Analysis; São Paulo; Environment; Humans; Incidence; SARS-CoV-2; Socioeconomic Factors; Spatial Analysis,People per square kilometer of land area,Cluster analysis,Brazil,Small Geographical Areas
39,151,Jain and Singh (2020),Seoul Journal of Economics,Confirmed COVID-19 cases,World,World,Countries,209,"January 13 - April 29, 2020",No association,Covid-19; Determinants; Global spread; Health economics; Infections; Mortality; Pandemic; public policy,People per square kilometer of land area,OLS,"Spain, Italy, France, Germany, United Kingdom, Russia, Belgium, Netherlands, Switzerland, Portugal, Ireland, Sweden, United States, Canada, Bermuda , Greenland, Turkey, Iran, China, India, Saudi Arabia, Israel, Singapore, Japan, Pakistan, Qatar, United Arab Emirates, South Korea, Indonesia, Philippines, Bangladesh, Malaysia, Kuwait, Thailand, Brazil, Peru, Ecuador, Mexico, Chile, Dominican Republic, Panama, Colombia, Argentina, South Africa, Egypt, Morocco, Algeria, Cameroon, Ghana, Nigeria, Ivory Coast, Guinea, Djibouti, Tunisia, Senegal, Niger, Burkina Faso, Somalia, Congo, Australia, New Zealand, French Polynesia, Fiji, New, Papua New Guinea",Large Geographical Areas
40,161,Mayer et al. (2020),World Medical and Health Policy,Confirmed COVID-19 cases,World,World,Countries,103,"January 22 - April 27, 2020",No association,COVID-19; culture; freedom;  Confucian; coronavirus disease 2019; cultural factor; disease transmission; freedom; government; human; income; Note; pandemic; political system; population density; population size; priority journal; social behavior; social distancing; South Asian,People per square kilometer of land area,OLS,"Afghanistan, Angola, Antigua and Barbuda, Bahamas, Bangladesh, Barbados, Belize, Benin, Bhutan, Bolivia, Botswana, Burundi, Cambodia, Cameroon, Central African Republic, Chad, Congo, Costa Rica, Ivory Coast, Cuba, Cyprus, Democratic Republic of Congo, Djibouti, Dominica, Dominican Republic, Egypt, El Salvador, Equatorial Guinea, Jersey, Kenya, Kosovo, Kuwait, Laos, Liberia, Liechtenstein, Madagascar, Malawi, Mauritania, Mauritius, Monaco, Mongolia, Mozambique, Myanmar, Namibia, Nicaragua, Niger, Oman, Panama, Papua New Guinea, Paraguay, Puerto Rico, San, Sao Tome and Principe, Saudi Arabia, Senegal, Seychelles",Large Geographical Areas
41,164,Wei et al. (2020),International Journal of Hygiene and Enviromental Health,Confirmed COVID-19 cases,Asia,China,Counties,1668,"February 28 - March 21, 2020",Positive,China; COVID-19; Interaction; Meteorological factors; Transportation; Humans; Meteorological Concepts; Pandemics; SARS-CoV-2; Temperature,People per square kilometer of land area,Logistic,China,Small Geographical Areas
42,166,Benita and Gasca-Sanchez (2021),Applied Geography,Confirmed COVID-19 cases and deaths,North America,Mexico,Municipalities,2459,"March 23 - August 22, 2020",Positive,Cluster analysis; Mexico lockdown; Municipalities; Regression; Socio-demographic determinants;,People per square kilometer of land area,Negative Binomial,Mexico,Small Geographical Areas
43,170,Ahmed et al. (2021),Heliyon,Confirmed COVID-19 cases,World,World,Cities,70,"January 18 - april 24, 2020",Positive,Air quality; COVID-19; GDP; Health expenditure; Humidity; Life expectancy; Population density; Temperatures; Total test,People per square kilometer of land area,Negative Binomial,"Algeria, Austria, Brazil, Canada, Chile, China, Ecuador, Germany, India, Indonesia, Iraq, Italy, Japan, Mexico, Pakistan, Philippines, Poland, Romania, Russia, Soudi Arabia, South Korea, Spain, Switzerland, United States",Small Geographical Areas
44,171,Rahman et. al (2021),Heliyon,Confirmed COVID-19 cases,Asia,Bangladesh,"Cases per 10,000 per district",NA,"March 8 - August 1, 2020",Positive,Built environment; Demography; Geographically weighted regression (GWR); Pandemic; Spatial regression model (SRM); Spatial variation,People per square kilometer of land area,Spatial regression,Bangladesh,Others
45,172,Singh et al. (2021),Journal of Public Affairs,Confirmed COVID-19 cases,World,World,Countries,83,"December 31, 2019 - May 25, 2020",No association,co-morbidities; COVID-19; SARS-CoV-2; temperature; transmission,People per square kilometer of land area,Partial least squares,NA,Large Geographical Areas
47,175,Nandy et al. (2021),"Transforming Government: People, Process and Policy","Confirmed COVID-19 cases, recoveries and deaths",Asia,India,Districts,302,"January 27 - July 31, 2020",Positive,COVID-19; Education; Health; India; Social infrastructure; Sub-national,Number of people,OLS,India,Small Geographical Areas
48,176,Cao et al. (2020),International Journal of Sociology and Social Policy,Containment,World,World,Nations,54,"December 31, 2019 -May 27, 2020",Positive,COVID-19; Individualism–collectivism; Intervention; National cultures; Tightness–looseness,People per square kilometer of land area,Hierarchical regression,"Albania, Argentina, Austria, Bangladesh, Belgium, Bulgaria, Canada, Chile, China, Croatia, Czech Republic, Denmark, Egypt, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, India, Indonesia, Iran, Ireland, Italy, Japan, Jordan, Lithuania, Luxembourg, Mexico, Morocco, Netherlands, Niger, Pakistan, Peru, Philippines, Poland, Portugal, Romania, Russia, Saudi Arabia, Singapore, Slovakia, Slovenia, South Africa, South Korea, Spain, Sweden, Tanzania, Turkey, Ukraine, United Kingdom, United States, Venezuela, Vietnam",Large Geographical Areas
49,177,Meyer et a. (2020),Frontiers in Public Health,Confrimed COVID-19 cases,World,World,Countries,194,"December 29, 2019 - March 17, 2020",No association,coronavirus; COVID-19; humidity; pandemic; SARS-CoV-2; temperature,People per square kilometer of land area,Negative Binomial,"Afghanistan, Algeria, Andorra, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahrain, Belgium, Bhutan, Bosnia and Herzegovina, Brazil, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Chile, China, Colombia, Croatia, Czech Republic, Democratic Republic of the Congo, Ecuador, Egypt, Estonia, Finland, Georgia, Germany, Greece, Guatemala, Guinea, Hong Kong, Iceland, India, Iran, Iraq, Ireland, Israel, Italy, Japan, Jordan, Kenya, Kuwait, Laos, Latvia, Lebanon, Liechtenstein, Lithuania, Luxembourg, Macao, Macedonia, Malaysia, Maldives, Malta, Mexico, Moldova, Mongolia, Morocco, Nepal, Netherlands, New Zealand, Nigeria, Norway, Oman, Pakistan, Palestina, Panama, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russia, Saint Vincent and the Grenadines, San Marino, Saudi Arabia, Senegal, Serbia, Singapore, Slovakia, Slovenia, South Africa, South Korea, Spain, Sri Lanka, Sudan, Sweden, Switzerland, Taiwan, Thailand, Tunisia, Ukraine, United Arab Emirates, United Kingdom, United States, Venezuela, Vietnam, United States Virgin Islands",Large Geographical Areas
50,178,Santos et al. (2020),Thunderbird International Business Review ,Confirmed COVID-19 cases,World,World,Cuntries,9,"March 11 - July 23, 2020",Positive,climate; coronavirus; country indicators; COVID-19; explanatory factors of COVID-19; international business management; internationalization; SARS-CoV-2,People per square kilometer of land area,Correlation analysis,"Dominican Republic, Czechia, Greece, Jordan, Portugal, Azerbaijan, Sweeden, Honduras, United Arab Emirates",Large Geographical Areas
51,179,Desmet and Wacziarg (2021),Journal of Urban Economics,Confirmed cases and deaths,North America,United States,Counties,3138,"March 15 - November 30, 2020",Positive,COVID-19; Determinants; Geography; Spatial variation; US counties,People per square mile of land area,OLS,United States,Small Geographical Areas
52,180,Gu et al. (2020),JAMA Network Open,Confirmed COVID-19 cases,North America,United States,Patients,5698,"March 10 - April 22, 2020",Positive,"Adult; African Americans; Aged; Betacoronavirus; Comorbidity; Coronavirus Infections; Diabetes Mellitus, Type 2; European Continental Ancestry Group; Female; Health Status Disparities; Hospitalization; Humans; Intensive Care Units; Kidney Diseases; Male; Michigan; Middle Aged; Neoplasms; Obesity; Odds Ratio; Pandemics; Pneumonia, Viral; Population Density; Retrospective Studies; Risk Factors",People per square mile of land area,Logistic,United States,Others
53,181,Benitez et al. (2020),"Journal of Economics, Race, and Policy",Confirmed COVID-19 cases,North America,United States,Zip codes,436,"June 6 - June 9, 2020",No association,COVID-19; Coronavirus; Racial disparities; Ethnic disparities; Health disparities,People per square mile of land area,OLS,United States,Small Geographical Areas
54,183,Kulkarni et al. (2021),Science of the Total Environment,Confirmed COVID-19 cases,Asia,India,Districts,46,"March 1 - May 31, 2020",No association,Basic reproduction rate; COVID-19; Temperature; Wind speed; Communicable Disease Control; Humans; India; Meteorological Concepts; SARS-CoV-2; Temperature; Weather; Wind; Air pressures; Air temperature; Coronaviruses; Meteorological data; Meteorological factors; Mobility datum; Time dependent; Wind speed; air temperature; COVID-19; disease spread; disease transmission; viral disease; wind velocity,People per square kilometer of land area,Nonparametric test,India,Small Geographical Areas
55,184,Kwok et al. (2021),Science of the Total Environment,Confirmed COVID-19 cases,Asia,Hong Kong,Cases,125,"January 23 - April 30, 2020",Positive,COVID-19 pandemic; Socio-demographic characteristics; Spatial analysis; Urban geometry; Disease transmission; Housing characteristic; Incubation periods; Least absolute shrinkage and selection operators; Preventive measures; Socio-demographic characteristics; Socio-demographic factors; World Health Organization; China; Hong Kong; health impact; spatiotemporal analysis,People per square kilometer of land area,Logistic,Hong Kong,Others
56,185,Mengyuan et al. (2021),Science of the Total Environment,Active infected cases,World,World,Countries,154,"January 1 - March 31, 2020",Positive,"COVID-19 fatality; COVID-19 transmission; Machine learning; Protective factor; Risk factor; Adolescent; Aged; Child; Child, Preschool; Coronavirus Infections; COVID-19; Female; Humans; Infant; Machine Learning; Male; Pandemics; SARS-CoV-2; United States; high temperature; low temperature",People per square kilometer of land area,Machine learning model,NA,Large Geographical Areas
57,186,Han et.al. (2021),Science of the Total Environment,Confirmed COVID-19 cases,Asia,China,Districts,400,"June 11 - July 5, 2020",Positive,Beijing; COVID-19; Environmental factor; Spatial analysis; Spatial distribution; Spatial Regression; Distribution characteristics; Environmental factors; Geographically weighted regression; Population densities; Prevention and controls; Spatial autocorrelation analysis; Spatial clustering; Spearman correlation; autocorrelation; environmental factor; Spatial distribution,People per square kilometer of land area,Spatial regression,China,Small Geographical Areas
58,188,Willem R. Boterman (2021),Tijdschrift voor Economische en Sociale Geografie,Confirmed COVID-19 cases,Europe,Netherlands,Cases,100000,"April 16 - April 29, 2020",No association,COVID-19; density; epidemiology; SARS-CoV-2; spatial polarization; urbanization,People per square kilometer of land area,Poisson,Netherlands,Others
